order	phylum	class	n_genomes	mttB-cbp-metH'	gbcAB	Cob_syn_75_perc
o__Puniceispirillales_A	p__Pseudomonadota	c__Alphaproteobacteria	17	11.76470588235294	0	5.88235294117647
o__TMED109	p__Pseudomonadota	c__Alphaproteobacteria	17	0	64.70588235294117	0
o__Versatilivoradales	p__Acidobacteriota	c__Terriglobia	17	0	17.647058823529413	0
o__Aminicenantales	p__Acidobacteriota	c__Aminicenantia	16	100	0	0
o__Cloacimonadales	p__Cloacimonadota	c__Cloacimonadia	16	25	0	0
o__Dissulfuribacterales	p__Desulfobacterota	c__Dissulfuribacteria	16	0	0	43.75
o__GCA-2731375	p__Pseudomonadota	c__Alphaproteobacteria	16	56.25	93.75	81.25
o__Hydrogenothermales	p__Aquificota	c__Aquificae	16	0	0	0
o__Izemoplasmatales	p__Bacillota_I	c__Bacilli_A	16	0	0	0
o__Thermodesulfobacteriales	p__Desulfobacterota	c__Thermodesulfobacteria	16	0	0	12.5
o__UBA1144	p__Desulfobacterota_D	c__UBA1144	16	0	0	0
o__UBA8248	p__UBA8248	c__UBA8248	16	0	18.75	18.75
o__Bacillales_B	p__Bacillota	c__Bacilli	15	0	0	0
o__Ectothiorhodospirales	p__Pseudomonadota	c__Gammaproteobacteria	15	0	0	73.33333333333333
o__LZORAL124-64-63	p__Krumholzibacteriota	c__Krumholzibacteria	15	20	0	0
o__SZUA-229	p__Pseudomonadota	c__Gammaproteobacteria	15	0	0	0
o__Sphingobacteriales	p__Bacteroidota	c__Bacteroidia	15	0	6.666666666666667	0
o__UBA2386	p__Planctomycetota	c__UBA1135	15	6.666666666666667	20	0
o__UBA2985	p__Chloroflexota	c__Dehalococcoidia	15	0	0	0
o__Paenibacillales	p__Bacillota	c__Bacilli	14	0	0	35.714285714285715
o__TMED25	p__Pseudomonadota	c__Alphaproteobacteria	14	0	0	85.71428571428571
o__UBA1146	p__Planctomycetota	c__UBA8108	14	0	14.285714285714285	0
o__UBA11654	p__Pseudomonadota	c__Gammaproteobacteria	14	71.42857142857143	0	0
o__UBA6429	p__Pseudomonadota	c__Gammaproteobacteria	14	0	0	7.142857142857142
o__Acetobacterales	p__Pseudomonadota	c__Alphaproteobacteria	13	0	0	23.076923076923077
o__Acidiferrobacterales	p__Pseudomonadota	c__Gammaproteobacteria	13	15.384615384615385	15.384615384615385	0
o__Bacillales	p__Bacillota	c__Bacilli	13	0	0	46.15384615384615
o__Coxiellales	p__Pseudomonadota	c__Gammaproteobacteria	13	0	0	0
o__Desulfurellales	p__Campylobacterota_A	c__Desulfurellia	13	0	0	0
o__GN15	p__Zixibacteria	c__MSB-5A5	13	61.53846153846154	0	0
o__Mariprofundales	p__Pseudomonadota	c__Zetaproteobacteria	13	0	0	0
o__Petrotogales	p__Thermotogota	c__Thermotogae	13	0	0	0
o__Tissierellales	p__Bacillota_A	c__Clostridia	13	15.384615384615385	0	30.76923076923077
o__UBA1127	p__Chloroflexota	c__Dehalococcoidia	13	0	0	0
o__UBA1845	p__Planctomycetota	c__Phycisphaerae	13	15.384615384615385	23.076923076923077	0
o__UBA7887	p__Pseudomonadota	c__Alphaproteobacteria	13	0	38.46153846153847	38.46153846153847
o__UBA9615	p__Myxococcota	c__UBA796	13	30.76923076923077	38.46153846153847	0
o__Beggiatoales	p__Pseudomonadota	c__Gammaproteobacteria	12	0	0	8.333333333333332
o__Chloroflexales	p__Chloroflexota	c__Chloroflexia	12	0	0	66.66666666666666
o__GCA-2729495	p__Pseudomonadota	c__Gammaproteobacteria	12	0	16.666666666666664	0
o__GIF9	p__Chloroflexota	c__Dehalococcoidia	12	75	0	0
o__Synergistales	p__Synergistota	c__Synergistia	12	16.666666666666664	0	41.66666666666667
o__UBA1280	p__Pseudomonadota	c__Alphaproteobacteria	12	0	0	0
o__UBA2966	p__Pseudomonadota	c__Alphaproteobacteria	12	41.66666666666667	66.66666666666666	33.33333333333333
o__UBA6926	p__Chloroflexota	c__Dehalococcoidia	12	0	25	0
o__JAAXGF01	p__Pseudomonadota	c__Alphaproteobacteria	11	63.63636363636363	63.63636363636363	72.72727272727273
o__RPQK01	p__Acidobacteriota	c__UBA6911	11	0	45.45454545454545	0
o__Steroidobacterales	p__Pseudomonadota	c__Gammaproteobacteria	11	36.36363636363637	18.181818181818183	0
o__Streptosporangiales	p__Actinomycetota	c__Actinomycetes	11	9.090909090909092	72.72727272727273	81.81818181818183
o__UBA7976	p__Myxococcota	c__Bradymonadia	11	0	9.090909090909092	0
o__Bin65	p__Pseudomonadota	c__Alphaproteobacteria	10	90	90	100
o__Deferribacterales	p__Deferribacterota	c__Deferribacteres	10	0	0	40
o__Kiritimatiellales	p__Verrucomicrobiota	c__Kiritimatiellia	10	10	0	0
o__Lachnospirales	p__Bacillota_A	c__Clostridia	10	0	0	40
o__Nautiliales	p__Campylobacterota	c__Campylobacteria	10	0	0	0
o__RBG-13-44-9	p__Calditrichota	c__Calditrichia	10	0	10	0
o__Rhodospirillales	p__Pseudomonadota	c__Alphaproteobacteria	10	0	0	50
o__SP197	p__Pseudomonadota	c__Alphaproteobacteria	10	100	30	90
o__Thermosulfidibacterales	p__Thermosulfidibacterota	c__Thermosulfidibacteria	10	0	0	10
